"ticker";"current_value";"date_updated"
"AALR3";15.1;"2020-08-03 00:30:35.680"
"AAPL34";51.26;"2020-08-03 00:30:35.680"
"ABCB4";18.68;"2020-08-03 00:30:35.680"
"ABCP11";16.79;"2020-08-03 00:30:35.680"
"ABEV3";21.49;"2020-08-03 00:30:35.680"
"ABTT34";46.5;"2020-08-03 00:30:35.680"
"ADHM3";1.98;"2020-08-03 00:30:35.680"
"AEFI11";164.1;"2020-08-03 00:30:35.680"
"AELP3";4.0;"2020-08-03 00:30:35.680"
"AGCX11";1249.98;"2020-08-03 00:30:35.680"
"AGRO3";13.45;"2020-08-03 00:30:35.680"
"ALMI11";2020.0;"2020-08-03 00:30:35.680"
"ALPA3";15.43;"2020-08-03 00:30:35.680"
"ALPA4";15.89;"2020-08-03 00:30:35.680"
"ALSC3";17.24;"2020-08-03 00:30:35.680"
"ALUP11";17.9;"2020-08-03 00:30:35.680"
"AMAR3";7.1;"2020-08-03 00:30:35.680"
"AMZO34";2176.23;"2020-08-03 00:30:35.680"
"ANIM3";26.5;"2020-08-03 00:30:35.680"
"ARMT34";52.7;"2020-08-03 00:30:35.680"
"ARZZ3";53.2;"2020-08-03 00:30:35.680"
"ATOM3";2.9;"2020-08-03 00:30:35.680"
"ATTB34";117.8;"2020-08-03 00:30:35.680"
"AZEV4";1.02;"2020-08-03 00:30:35.680"
"AZUL4";29.34;"2020-08-03 00:30:35.680"
"BAHI3";62.47;"2020-08-03 00:30:35.680"
"BALM4";10.0;"2020-08-03 00:30:35.680"
"BAUH4";13.99;"2020-08-03 00:30:35.680"
"BBAS3";37.82;"2020-08-03 00:30:35.680"
"BBDC3";35.34;"2020-08-03 00:30:35.680"
"BBDC4";37.22;"2020-08-03 00:30:35.680"
"BBFI11B";2906.05;"2020-08-03 00:30:35.680"
"BBPO11";141.9;"2020-08-03 00:30:35.680"
"BBRC11";147.3;"2020-08-03 00:30:35.680"
"BBRK3";0.86;"2020-08-03 00:30:35.680"
"BBSE3";30.61;"2020-08-03 00:30:35.680"
"BBVJ11";59.6;"2020-08-03 00:30:35.680"
"BCIA11";111.47;"2020-08-03 00:30:35.680"
"BCRI11";105.15;"2020-08-03 00:30:35.680"
"BDLL4";27.0;"2020-08-03 00:30:35.680"
"BEEF3";9.11;"2020-08-03 00:30:35.680"
"BEES3";3.62;"2020-08-03 00:30:35.680"
"BEES4";3.7;"2020-08-03 00:30:35.680"
"BGIP4";39.99;"2020-08-03 00:30:35.680"
"BIOM3";8.02;"2020-08-03 00:30:35.680"
"BKBR3";16.8;"2020-08-03 00:30:35.680"
"BMEB3";9.5;"2020-08-03 00:30:35.680"
"BMEB4";5.31;"2020-08-03 00:30:35.680"
"BMKS3";330.0;"2020-08-03 00:30:35.680"
"BMLC11B";82.55;"2020-08-03 00:30:35.680"
"BNFS11";118.9;"2020-08-03 00:30:35.680"
"BOAC34";99.49;"2020-08-03 00:30:35.680"
