ticker;current_value;closing_value;opening_value;variation;highest_value;lowest_value;daily_volume;market_value;paper_in_circulation
IBOVESPA;80898.7;81532.53;81531.51;-0.78;81897;79690.09;null;null;null
FNAM11;0.09;0.1;0.1;-10;0.1;0.09;207598000;null;null
TOYB4;2.15;2.2;2.16;-2.27;2.16;2.15;1700;62963770;29285473
CEED4;35;35;null;0;null;null;0;348342785;9952651
ALMI11;2020;2037.94;2040;-0.88;2040;1995;104;null;null
EUCA4;5.03;4.89;4.99;2.86;5.04;4.84;73600;630174678;125283231
GPCP3;17;18.34;17;-7.31;17;17;200;100007277;5882781
ENGI4;5.13;5.13;5.13;0;5.13;5.13;200;12381440274;2413536062
KNRE11;10.85;11.38;11.3;-4.66;11.3;10.59;1623;null;null
MMXM11;0.79;0.74;0.74;6.76;0.8;0.74;3800;null;null
SLED3;4.5;4.5;4.49;0;4.5;4.49;3000;119987100;26663800
BRIV3;5.8;5.8;null;0;null;null;0;560749018;96680862
OSXB3;7.49;7.87;7.41;-4.83;7.84;7.4;3400;23578804;3148038
SLED4;4.6;4.49;4.52;2.45;4.6;4.34;105500;122926648;26723185
BAHI3;62.47;62.46;62.46;0.02;62.47;62.46;600;73212967;1171970
BMEB3;9.5;9.5;null;0;null;null;0;413638902;43540937
BTOW3;20.41;21.95;21.7;-7.02;22.19;20.08;4289900;9256491899;453527289
FNOR11;0.22;0.21;0.22;4.76;0.22;0.22;5000;null;null
BTTL3;4.3;4.3;null;0;null;null;0;65336392;15194509
IDVL3;1.55;1.65;1.22;-6.06;1.55;1.22;1700;null;null
ENEV3;13.96;14.09;14.01;-0.92;14.24;13.8;167500;4397267252;314990490
GRLV11;1267;1269;1268.95;-0.16;1268.96;1255.67;29;null;null
PSSA3;42.09;42.87;42.37;-1.82;43.38;41.73;461200;13607401535;323292979
PETR4;18.77;19.05;19.03;-1.47;19.39;18.51;68727600;254378238905;13552383202
WHRL4;5.3;4.76;4.76;11.34;5.3;4.76;52000;7735685424;1459563235
TOYB3;2.09;2.09;null;0;null;null;0;64428037;30826813
DTEX3;10.82;11;10.96;-1.64;11;10.74;7095500;7485107592;691784455
